player_id,player_fullname,age,birth_date,birth_place,nationality,height_cm,weight_kg,player_photo,club,league,position,minutes,rating,shots,goals,assists,passes,key_passes,tackles,blocks,interceptions,duels,duels_won,dribbles_attempted,dribbles_success,fouls_drawn,fouls_committed,team_logo,league_logo,goals_p90,assists_p90
18814,Issa Laye Lucas Jean Diop,28.0,1997-01-09,Toulouse,France,194,92,https://media.api-sports.io/football/players/18814.png,Fulham,Premier League,Defender,224,6.33,1.41,3.94,3.99,5.24,1.39,4.93,1.25,3.86,2.31,1.72,1.19,1.68,0.84,2.12,https://media.api-sports.io/football/teams/36.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
19025,Thomas Cairney,34.0,1991-01-20,Nottingham,Scotland,185,84,https://media.api-sports.io/football/players/19025.png,Fulham,Premier League,Midfielder,231,6.59,8.63,3.41,3.3,8.9,4.69,1.1,7.9,1.06,2.35,1.88,2.95,1.11,8.17,5.31,https://media.api-sports.io/football/teams/36.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
19480,Harrison James Reed,30.0,1995-01-27,Worthing,England,181,72,https://media.api-sports.io/football/players/19480.png,Fulham,Premier League,Midfielder,8,6.7,0.92,3.41,3.3,0.28,0.84,0.48,2.18,1.06,6.56,0.26,0.53,1.11,0.76,9.44,https://media.api-sports.io/football/teams/36.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
195106,Rodrigo Muniz Carvalho,24.0,2001-05-04,São Domingos do Prata,Brazil,178,67,https://media.api-sports.io/football/players/195106.png,Fulham,Premier League,Attacker,353,6.51,7.41,6.56,8.54,0.41,5.34,4.69,3.3,2.21,8.44,8.44,4.93,4.86,5.82,2.21,https://media.api-sports.io/football/teams/36.png,https://media.api-sports.io/football/leagues/39.png,0.254957507082153,0.254957507082153
389315,Joshua King,18.0,2007-01-03,,England,187,74,https://media.api-sports.io/football/players/389315.png,Fulham,Premier League,Midfielder,841,6.49,7.56,3.41,7.41,0.88,5.13,5.35,6.09,2.3,4.13,5.28,6.87,7.14,7.85,8.0,https://media.api-sports.io/football/teams/36.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.1070154577883472
19305,Ryan James Yates,28.0,1997-11-21,Nottingham,England,190,87,https://media.api-sports.io/football/players/19305.png,Nottingham Forest,Premier League,Midfielder,318,6.73,2.52,3.41,9.24,6.26,2.15,6.01,6.85,7.48,7.31,8.66,1.34,3.11,8.26,3.08,https://media.api-sports.io/football/teams/65.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.2830188679245283
67943,Felipe Rodrigues da Silva,24.0,2001-06-30,Francisco Morato,Brazil,192,88,https://media.api-sports.io/football/players/67943.png,Nottingham Forest,Premier League,Defender,716,6.87,3.17,3.94,3.99,8.51,1.39,7.64,7.07,2.45,2.88,5.1,4.3,6.32,4.54,4.3,https://media.api-sports.io/football/teams/65.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
141901,João Pedro Ferreira Silva,26.0,1999-08-01,Melres,Portugal,179,77,https://media.api-sports.io/football/players/141901.png,Nottingham Forest,Premier League,Attacker,11,6.7,0.8,2.6,3.37,2.41,1.12,9.97,3.3,2.21,9.86,9.97,0.65,1.09,9.97,9.39,https://media.api-sports.io/football/teams/65.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
329357,Zach Abbott,19.0,2006-05-13,,England,180,70,https://media.api-sports.io/football/players/329357.png,Nottingham Forest,Premier League,Defender,45,6.7,1.41,3.94,3.99,3.89,1.39,6.59,1.25,0.75,8.74,9.87,1.19,1.68,9.35,9.48,https://media.api-sports.io/football/teams/65.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
362711,Jair Paula da Cunha Filho,20.0,2005-03-07,Orlândia,Brazil,198,87,https://media.api-sports.io/football/players/362711.png,Nottingham Forest,Premier League,Defender,90,6.7,1.41,3.94,3.99,5.94,1.39,6.59,8.29,9.33,0.49,3.57,6.94,8.89,0.84,9.48,https://media.api-sports.io/football/teams/65.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
36922,Sepp van den Berg,24.0,2001-12-20,Zwolle,Netherlands,189,74,https://media.api-sports.io/football/players/36922.png,Brentford,Premier League,Defender,1440,6.61,6.66,3.94,3.99,4.88,3.11,1.39,5.81,3.62,3.61,5.64,1.19,1.68,1.73,8.39,https://media.api-sports.io/football/teams/55.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
106725,Keane William Lewis-Potter,24.0,2001-02-22,Hull,England,170,67,https://media.api-sports.io/football/players/106725.png,Brentford,Premier League,Midfielder,570,6.5,6.81,3.41,8.17,0.68,4.78,3.72,2.18,2.86,1.76,2.52,3.59,3.51,6.75,7.56,https://media.api-sports.io/football/teams/55.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.15789473684210525
